vehicle_number,lap,timestamp,lap_time,cumulative_time,position,gap_to_leader,gap_to_ahead,gap_to_behind,gap_delta_ahead,gap_delta_behind,is_fighting,laps_remaining,race_progress,fuel_load_estimate,air_temp,track_temp,humidity,pressure,wind_speed,is_under_yellow
47,2,2025-10-18 12:49:22.153000+00:00,146.95,146.95,1,0.0,0.0,0.291,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,17.522222222222222,17.43333333333333,74.64977777777777,984.4622222222224,6.4,0
7,2,2025-10-18 12:49:22.444000+00:00,150.721,150.721,2,0.291,0.291,0.088,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,17.522222222222222,17.43333333333333,74.64977777777777,984.4622222222224,6.4,0
16,2,2025-10-18 12:49:22.532000+00:00,149.763,149.763,3,0.379,0.088,0.064,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,17.522222222222222,17.43333333333333,74.64977777777777,984.4622222222224,6.4,0
55,2,2025-10-18 12:49:22.596000+00:00,148.704,148.704,4,0.443,0.064,0.203,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,17.522222222222222,17.43333333333333,74.64977777777777,984.4622222222224,6.4,0
13,2,2025-10-18 12:49:22.799000+00:00,147.943,147.943,5,0.646,0.203,0.074,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,17.522222222222222,17.43333333333333,74.64977777777777,984.4622222222224,6.4,0
46,2,2025-10-18 12:49:22.873000+00:00,146.579,146.579,6,0.72,0.074,0.094,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,17.522222222222222,17.43333333333333,74.64977777777777,984.4622222222224,6.4,0
0,2,2025-10-18 12:49:22.967000+00:00,146.073,146.073,7,0.814,0.094,0.108,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,17.522222222222222,17.43333333333333,74.64977777777777,984.4622222222224,6.4,0
98,2,2025-10-18 12:49:23.075000+00:00,145.115,145.115,8,0.922,0.108,0.274,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,17.522222222222222,17.43333333333333,74.64977777777777,984.4622222222224,6.4,0
2,2,2025-10-18 12:49:23.349000+00:00,144.11,144.11,9,1.196,0.274,0.142,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,17.522222222222222,17.43333333333333,74.64977777777777,984.4622222222224,6.4,0
31,2,2025-10-18 12:49:23.491000+00:00,143.555,143.555,10,1.338,0.142,0.039,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,17.522222222222222,17.43333333333333,74.64977777777777,984.4622222222224,6.4,0
88,2,2025-10-18 12:49:23.530000+00:00,142.768,142.768,11,1.377,0.039,0.009,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,17.522222222222222,17.43333333333333,74.64977777777777,984.4622222222224,6.4,0
113,2,2025-10-18 12:49:23.539000+00:00,141.008,141.008,12,1.3860000000000001,0.009,0.082,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,17.522222222222222,17.43333333333333,74.64977777777777,984.4622222222224,6.4,0
5,2,2025-10-18 12:49:23.621000+00:00,145.092,145.092,13,1.468,0.082,0.029,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,17.522222222222222,17.43333333333333,74.64977777777777,984.4622222222224,6.4,0
21,2,2025-10-18 12:49:23.650000+00:00,141.561,141.561,14,1.4969999999999999,0.029,0.108,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,17.522222222222222,17.43333333333333,74.64977777777777,984.4622222222224,6.4,0
21,2,2025-10-18 12:49:23.650000+00:00,141.561,141.561,14,1.4969999999999999,0.029,0.108,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,17.522222222222222,17.43333333333333,74.64977777777777,984.4622222222224,6.4,0
80,2,2025-10-18 12:49:23.758000+00:00,140.488,140.488,15,1.605,0.108,0.494,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,17.522222222222222,17.43333333333333,74.64977777777777,984.4622222222224,6.4,0
93,2,2025-10-18 12:49:24.252000+00:00,139.308,139.308,16,2.099,0.494,0.04,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,17.522222222222222,17.43333333333333,74.64977777777777,984.4622222222224,6.4,0
