vehicle_number,lap,timestamp,lap_time,cumulative_time,position,gap_to_leader,gap_to_ahead,gap_to_behind,gap_delta_ahead,gap_delta_behind,is_fighting,laps_remaining,race_progress,fuel_load_estimate,air_temp,track_temp,humidity,pressure,wind_speed,is_under_yellow
88,2,2025-10-19 15:04:33.744000+00:00,156.831,156.831,1,0.0,0.0,0.14,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,12.007209302325583,14.344186046511627,81.99023255813954,978.2930232558141,3.2651162790697676,1
46,2,2025-10-19 15:04:33.884000+00:00,155.637,155.637,2,0.14,0.14,0.069,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,12.007209302325583,14.344186046511627,81.99023255813954,978.2930232558141,3.2651162790697676,1
13,2,2025-10-19 15:04:33.953000+00:00,154.894,154.894,3,0.209,0.069,0.143,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,12.007209302325583,14.344186046511627,81.99023255813954,978.2930232558141,3.2651162790697676,1
0,2,2025-10-19 15:04:34.096000+00:00,155.831,155.831,4,0.352,0.143,0.149,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,12.007209302325583,14.344186046511627,81.99023255813954,978.2930232558141,3.2651162790697676,0
16,2,2025-10-19 15:04:34.245000+00:00,154.319,154.319,5,0.501,0.149,0.004,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,12.007209302325583,14.344186046511627,81.99023255813954,978.2930232558141,3.2651162790697676,0
47,2,2025-10-19 15:04:34.249000+00:00,154.578,154.578,6,0.505,0.004,0.208,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,12.007209302325583,14.344186046511627,81.99023255813954,978.2930232558141,3.2651162790697676,1
55,2,2025-10-19 15:04:34.457000+00:00,153.257,153.257,7,0.713,0.208,0.081,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,12.007209302325583,14.344186046511627,81.99023255813954,978.2930232558141,3.2651162790697676,1
113,2,2025-10-19 15:04:34.538000+00:00,154.009,154.009,8,0.794,0.081,0.13,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,12.007209302325583,14.344186046511627,81.99023255813954,978.2930232558141,3.2651162790697676,1
21,2,2025-10-19 15:04:34.668000+00:00,152.471,152.471,9,0.924,0.13,0.261,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,12.007209302325583,14.344186046511627,81.99023255813954,978.2930232558141,3.2651162790697676,1
21,2,2025-10-19 15:04:34.668000+00:00,152.471,152.471,9,0.924,0.13,0.261,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,12.007209302325583,14.344186046511627,81.99023255813954,978.2930232558141,3.2651162790697676,1
2,2,2025-10-19 15:04:34.929000+00:00,151.402,151.402,10,1.185,0.261,0.173,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,12.007209302325583,14.344186046511627,81.99023255813954,978.2930232558141,3.2651162790697676,1
41,2,2025-10-19 15:04:35.102000+00:00,150.386,150.386,11,1.358,0.173,0.045,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,12.007209302325583,14.344186046511627,81.99023255813954,978.2930232558141,3.2651162790697676,0
31,2,2025-10-19 15:04:35.147000+00:00,152.194,152.194,12,1.403,0.045,0.033,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,12.007209302325583,14.344186046511627,81.99023255813954,978.2930232558141,3.2651162790697676,1
98,2,2025-10-19 15:04:35.180000+00:00,153.468,153.468,13,1.436,0.033,0.15,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,12.007209302325583,14.344186046511627,81.99023255813954,978.2930232558141,3.2651162790697676,1
5,2,2025-10-19 15:04:35.330000+00:00,150.207,150.207,14,1.5859999999999999,0.15,0.116,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,12.007209302325583,14.344186046511627,81.99023255813954,978.2930232558141,3.2651162790697676,1
89,2,2025-10-19 15:04:35.446000+00:00,148.696,148.696,15,1.702,0.116,0.226,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,12.007209302325583,14.344186046511627,81.99023255813954,978.2930232558141,3.2651162790697676,1
93,2,2025-10-19 15:04:35.672000+00:00,147.568,147.568,16,1.928,0.226,0.279,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,12.007209302325583,14.344186046511627,81.99023255813954,978.2930232558141,3.2651162790697676,1
80,2,2025-10-19 15:04:35.951000+00:00,145.487,145.487,17,2.207,0.279,0.107,0.0,0.0,True,24,0.07692307692307693,0.9230769230769231,12.007209302325583,14.344186046511627,81.99023255813954,978.2930232558141,3.2651162790697676,1
