vehicle_number,lap,timestamp,lap_time,cumulative_time,position,gap_to_leader,gap_to_ahead,gap_to_behind,gap_delta_ahead,gap_delta_behind,is_fighting,laps_remaining,race_progress,fuel_load_estimate,prev_lap_time,rolling_avg_3,lap_time_diff,air_temp,track_temp,humidity,pressure,wind_speed,is_under_yellow,top_speed,track,track_name,race_num,race_id
22,2,2025-05-17 17:42:27.227000+00:00,148.836,148.836,1,0.0,0.0,1.301,0.0,0.0,True,14,0.125,0.875,148.836,148.836,0.0,33.562666666666665,42.79111111111111,46.62022222222222,1013.5244444444446,3.623999999999999,0,,sebring,Sebring International Raceway,1,sebring_r1
33,2,2025-05-17 17:42:28.528000+00:00,149.797,149.797,2,1.301,1.301,0.854,0.0,0.0,True,14,0.125,0.875,149.797,149.797,0.0,33.562666666666665,42.79111111111111,46.62022222222222,1013.5244444444446,3.623999999999999,0,,sebring,Sebring International Raceway,1,sebring_r1
26,2,2025-05-17 17:42:29.382000+00:00,150.405,150.405,3,2.155,0.854,3.233,0.0,0.0,True,14,0.125,0.875,150.405,150.405,0.0,33.562666666666665,42.79111111111111,46.62022222222222,1013.5244444444446,3.623999999999999,0,,sebring,Sebring International Raceway,1,sebring_r1
49,2,2025-05-17 17:42:32.615000+00:00,152.864,152.864,4,5.388,3.233,0.166,0.0,0.0,True,14,0.125,0.875,152.864,152.864,0.0,33.562666666666665,42.79111111111111,46.62022222222222,1013.5244444444446,3.623999999999999,0,,sebring,Sebring International Raceway,1,sebring_r1
32,2,2025-05-17 17:42:32.781000+00:00,153.284,153.284,5,5.554,0.166,0.417,0.0,0.0,True,14,0.125,0.875,153.284,153.284,0.0,33.562666666666665,42.79111111111111,46.62022222222222,1013.5244444444446,3.623999999999999,0,,sebring,Sebring International Raceway,1,sebring_r1
47,2,2025-05-17 17:42:33.198000+00:00,153.109,153.109,6,5.971,0.417,0.078,0.0,0.0,True,14,0.125,0.875,153.109,153.109,0.0,33.562666666666665,42.79111111111111,46.62022222222222,1013.5244444444446,3.623999999999999,0,,sebring,Sebring International Raceway,1,sebring_r1
15,2,2025-05-17 17:42:33.276000+00:00,152.998,152.998,7,6.049,0.078,0.395,0.0,0.0,True,14,0.125,0.875,152.998,152.998,0.0,33.562666666666665,42.79111111111111,46.62022222222222,1013.5244444444446,3.623999999999999,0,,sebring,Sebring International Raceway,1,sebring_r1
24,2,2025-05-17 17:42:33.671000+00:00,152.926,152.926,8,6.444,0.395,1.413,0.0,0.0,True,14,0.125,0.875,152.926,152.926,0.0,33.562666666666665,42.79111111111111,46.62022222222222,1013.5244444444446,3.623999999999999,0,,sebring,Sebring International Raceway,1,sebring_r1
51,2,2025-05-17 17:42:35.084000+00:00,154.628,154.628,9,7.857,1.413,0.514,0.0,0.0,True,14,0.125,0.875,154.628,154.628,0.0,33.562666666666665,42.79111111111111,46.62022222222222,1013.5244444444446,3.623999999999999,0,,sebring,Sebring International Raceway,1,sebring_r1
35,2,2025-05-17 17:42:35.598000+00:00,154.49,154.49,10,8.371,0.514,0.422,0.0,0.0,True,14,0.125,0.875,154.49,154.49,0.0,33.562666666666665,42.79111111111111,46.62022222222222,1013.5244444444446,3.623999999999999,0,,sebring,Sebring International Raceway,1,sebring_r1
61,2,2025-05-17 17:42:36.020000+00:00,154.304,154.304,11,8.793,0.422,0.047,0.0,0.0,True,14,0.125,0.875,154.304,154.304,0.0,33.562666666666665,42.79111111111111,46.62022222222222,1013.5244444444446,3.623999999999999,0,,sebring,Sebring International Raceway,1,sebring_r1
63,2,2025-05-17 17:42:36.067000+00:00,156.145,156.145,12,8.84,0.047,1.028,0.0,0.0,True,14,0.125,0.875,156.145,156.145,0.0,33.562666666666665,42.79111111111111,46.62022222222222,1013.5244444444446,3.623999999999999,0,,sebring,Sebring International Raceway,1,sebring_r1
40,2,2025-05-17 17:42:37.095000+00:00,156.208,156.208,13,9.868,1.028,0.572,0.0,0.0,True,14,0.125,0.875,156.208,156.208,0.0,33.562666666666665,42.79111111111111,46.62022222222222,1013.5244444444446,3.623999999999999,0,,sebring,Sebring International Raceway,1,sebring_r1
13,2,2025-05-17 17:42:37.667000+00:00,156.164,156.164,14,10.44,0.572,17.668,0.0,0.0,True,14,0.125,0.875,156.164,156.164,0.0,33.562666666666665,42.79111111111111,46.62022222222222,1013.5244444444446,3.623999999999999,0,,sebring,Sebring International Raceway,1,sebring_r1
65,2,2025-05-17 17:42:55.335000+00:00,174.374,174.374,15,28.108,17.668,60.0,0.0,0.0,False,14,0.125,0.875,174.374,174.374,0.0,33.562666666666665,42.79111111111111,46.62022222222222,1013.5244444444446,3.623999999999999,0,,sebring,Sebring International Raceway,1,sebring_r1
6,2,2025-05-17 17:44:53.403000+00:00,146.517,146.517,16,146.176,118.068,0.264,0.0,0.0,True,14,0.125,0.875,146.517,146.517,0.0,33.562666666666665,42.79111111111111,46.62022222222222,1013.5244444444446,3.623999999999999,0,,sebring,Sebring International Raceway,1,sebring_r1
10,2,2025-05-17 17:44:53.667000+00:00,146.084,146.084,17,146.44,0.264,2.436,0.0,0.0,True,14,0.125,0.875,146.084,146.084,0.0,33.562666666666665,42.79111111111111,46.62022222222222,1013.5244444444446,3.623999999999999,0,,sebring,Sebring International Raceway,1,sebring_r1
